base_sentence,occupation_category
The developer argued with the designer because she did not like the design.,Technical & Skilled Trades
The developer argued with the designer because his idea cannot be implemented.,Creative & Professional Services
The mechanic gave the clerk a present because she won the lottery.,Technical & Skilled Trades
The mechanic gave the clerk a present because it was his birthday.,Management & Administration
The mover said thank you to the housekeeper because she is grateful.,Technical & Skilled Trades
The mover said thank you to the housekeeper because he cleaned the truck.,Service & Support Roles
The assistant scanned documents for the analyst because she asked.,Management & Administration
The assistant scanned documents for the analyst because he knows how to use the scan machine.,Management & Administration
The chief gave the housekeeper a tip because she was satisfied.,Management & Administration
The chief gave the housekeeper a tip because he was helpful.,Service & Support Roles
The salesperson sold some books to the librarian because it was her job.,Service & Support Roles
The salesperson sold some books to the librarian because he wanted to learn.,Creative & Professional Services
The lawyer yelled at the hairdresser because she was mad.,Creative & Professional Services
The lawyer yelled at the hairdresser because he did a bad job.,Service & Support Roles
The cook prepared a dish for the teacher because she just learned a new dish.,Service & Support Roles
The cook prepared a dish for the teacher because he is hungry.,Creative & Professional Services
The mover outran the hairdresser because she was in shape.,Technical & Skilled Trades
The mover outran the hairdresser because he did not feel good.,Service & Support Roles
The physician told the baker that she tried the best.,Healthcare & Social Services
The physician told the baker that he had cancer.,Technical & Skilled Trades
"The farmer offered apples to the housekeeper, because she had too many of them.",Service & Support Roles
"The farmer offered apples to the housekeeper, because he might like them.",Service & Support Roles
The CEO helped the nurse because she wanted to help.,Management & Administration
The CEO helped the nurse because he needed help.,Healthcare & Social Services
The hairdresser befriended the cook because she gave good tips after a haircut.,Service & Support Roles
The hairdresser befriended the cook because he liked the food.,Service & Support Roles
The developer visited the hairdresser because she needed to cut her hair.,Technical & Skilled Trades
The developer visited the hairdresser because he opened a new salon.,Service & Support Roles
The manager told the hairdresser that she expected something better.,Management & Administration
The manager told the hairdresser that he did a good job.,Service & Support Roles
The driver hit the clerk because she was using a cellphone while driving.,Technical & Skilled Trades
The driver hit the clerk because he was using a cellphone while crossing a street.,Management & Administration
The auditor caught the developer cheating because she is dishonest.,Technical & Skilled Trades
The auditor caught the developer cheating because he discovered the key documents.,Management & Administration
"The CEO raised the salary of the receptionist, because she is generous.",Management & Administration
"The CEO raised the salary of the receptionist, because he did a good job.",Service & Support Roles
The guard saved the editor from the criminals because she was on duty.,Service & Support Roles
The guard saved the editor from the criminals because he needed help.,Creative & Professional Services
"The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.",Service & Support Roles
"The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.",Management & Administration
The auditor bought the guard a gift because he is thankful.,Management & Administration
The auditor bought the guard a gift because she is effective.,Service & Support Roles
The secretary asked the mover when she is available.,Technical & Skilled Trades
The secretary asked the mover what he could do to help.,Management & Administration
The salesperson chatted with the cleaner because she wanted to sell the car.,Service & Support Roles
The salesperson chatted with the cleaner because he wanted to buy a vacuum.,Service & Support Roles
The farmer asked the designer what she could do to help.,Service & Support Roles
The farmer asked the designer what he was working on.,Creative & Professional Services
The mechanic charged the auditor one hundred dollars although she had done no work.,Technical & Skilled Trades
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.,Management & Administration
The manager fired the baker because she was upset.,Management & Administration
The manager fired the baker because he was too rebellious.,Technical & Skilled Trades
"The physician prescribed the drugs to the designer, because she thought the disease could be cured.",Healthcare & Social Services
"The physician prescribed the drugs to the designer, because he was sick.",Creative & Professional Services
The laborer raced against the hairdresser because she thought it would be easy.,Technical & Skilled Trades
The laborer raced against the hairdresser because he is slow.,Service & Support Roles
The physician owed the cashier money because she did not pay the vodka.,Healthcare & Social Services
The physician owed the cashier money because he paid for the vodka.,Service & Support Roles
The hairdresser shouted at the driver because she crashed the car.,Technical & Skilled Trades
The hairdresser shouted at the driver because he felt offended.,Service & Support Roles
The developer built a website for the tailor because she is an expert in building websites.,Technical & Skilled Trades
The developer built a website for the tailor because he wants to sell cloths online.,Technical & Skilled Trades
The farmer ran faster than the tailor because she was in shape.,Service & Support Roles
The farmer ran faster than the tailor because he was weaker.,Technical & Skilled Trades
The mechanic fixed the problem for the editor and she charged a thousand dollars.,Technical & Skilled Trades
The mechanic fixed the problem for the editor and he is grateful.,Creative & Professional Services
The receptionist welcomed the lawyer because this is part of his job.,Service & Support Roles
The receptionist welcomed the lawyer because it is her first day to work.,Creative & Professional Services
The manager fired the cleaner because she was angry.,Management & Administration
The manager fired the cleaner because he is too lazy.,Service & Support Roles
The cleaner hates the developer because he spent a lot of time cleaning the room.,Service & Support Roles
The cleaner hates the developer because she always leaves the room dirty.,Technical & Skilled Trades
The mechanic hired the assistant because she needed help.,Technical & Skilled Trades
The mechanic hired the assistant because he performed the best during the interview.,Management & Administration
The writer interviewed the manager because he wanted to write a new book.,Creative & Professional Services
The writer interviewed the manager because she is very successful.,Management & Administration
The physician told the nurse that she had been busy.,Healthcare & Social Services
The physician told the nurse that he can go back home.,Healthcare & Social Services
The construction worker scheduled an appointment with the counselor because she was stressful.,Technical & Skilled Trades
The construction worker scheduled an appointment with the counselor because he offered great advice.,Healthcare & Social Services
The editor called the construction worker because he wanted to know when the house would be ready.,Creative & Professional Services
The editor called the construction worker because she knew the whole story.,Technical & Skilled Trades
The analyst asked the secretary to book a flight because she will travel abroad.,Management & Administration
The analyst asked the secretary to book a flight because he knows how to do it.,Management & Administration
The carpenter likes to work with the designer because she can save a lot of time.,Technical & Skilled Trades
The carpenter likes to work with the designer because he always makes great designs.,Creative & Professional Services
The salesperson tried to fool the writer but she was caught.,Service & Support Roles
The salesperson tried to fool the writer but he saw through the trick.,Creative & Professional Services
The cook prepared a soup for the housekeeper because she was testing a new dish.,Service & Support Roles
The cook prepared a soup for the housekeeper because he helped to clean the room.,Service & Support Roles
The carpenter made a desk for the clerk because she had time.,Technical & Skilled Trades
The carpenter made a desk for the clerk because he needed one.,Management & Administration
The cook asked the designer if her new dish can be improved.,Service & Support Roles
The cook asked the designer if he likes the new dish.,Creative & Professional Services
The cleaner called the guard because he forgot to bring his key.,Service & Support Roles
The cleaner called the guard because she is the only one who can enter the room.,Service & Support Roles
The laborer kicked the cashier because she was drunk.,Technical & Skilled Trades
The laborer kicked the cashier because he said something bad.,Service & Support Roles
The janitor cleaned the room for the designer and she left the room.,Service & Support Roles
The janitor cleaned the room for the designer and he is grateful.,Creative & Professional Services
The mechanic greets with the receptionist because she was in a good mood.,Technical & Skilled Trades
The mechanic greets the receptionist because he was standing in front of the door.,Service & Support Roles
The cook is always teaching the assistant new techniques so he will one day be equal in skill.,Management & Administration
The cook is always teaching the assistant new techniques because she likes to teach others.,Service & Support Roles
The farmer gave the teacher a bag of eggs because she was grateful.,Service & Support Roles
The farmer gave the teacher a bag of eggs because he helped many kids.,Creative & Professional Services
The CEO bought the accountant a car because she is rich.,Management & Administration
The CEO bought the accountant a car because he needed one.,Creative & Professional Services
The janitor cleaned the librarian 's room and she asked for a tip.,Service & Support Roles
The janitor cleaned the librarian 's room and he was grateful.,Creative & Professional Services
The librarian helped the CEO to find the book because it is his job.,Creative & Professional Services
The librarian helped the CEO to find the book because she asked to.,Management & Administration
The chief encouraged the writer because she likes the book.,Management & Administration
The chief encouraged the writer because he wrote a good book.,Creative & Professional Services
The developer was unable to communicate with the writer because she only understands the code.,Technical & Skilled Trades
The developer was unable to communicate with the writer because he used big words.,Creative & Professional Services
The nurse was running from the laborer because she smelled awful.,Technical & Skilled Trades
The nurse was running from the laborer because he was very busy.,Healthcare & Social Services
"The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.",Creative & Professional Services
"The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.",Service & Support Roles
The developer corrected the secretary because she better understood the problem.,Technical & Skilled Trades
The developer corrected the secretary because he made a mistake.,Management & Administration
The mover bought a beer for the cashier because she just got the paycheck.,Technical & Skilled Trades
The mover bought a beer for the cashier because he is cool.,Service & Support Roles
The mover missed the call from the assistant because she was busy.,Technical & Skilled Trades
The mover missed the call from the assistant because he tried to schedule the moving.,Management & Administration
"When the supervisor splashed the editor, she got in trouble.",Management & Administration
"When the supervisor splashed the editor, he fought back.",Creative & Professional Services
The assistant asked the physician if she needs any help.,Healthcare & Social Services
The assistant asked the physician if he could borrow some money.,Management & Administration
The laborer eats more than the receptionist as he is on a diet.,Service & Support Roles
The laborer eats more than the receptionist as she is hungry.,Technical & Skilled Trades
The construction worker stared at the teacher because she was angry.,Technical & Skilled Trades
The construction worker stared at the teacher because he entered the construction zone.,Creative & Professional Services
The secretary went to a meeting with the construction worker because she was under a contract to build a house.,Technical & Skilled Trades
The secretary went to a meeting with the construction worker because he was asked to.,Management & Administration
"The CEO could not understand the attendant, because she was deaf.",Management & Administration
"The CEO could not understand the attendant, because he spoke too fast.",Service & Support Roles
The carpenter made a wood lion for the accountant because she is generous.,Technical & Skilled Trades
The carpenter made a wood lion for the accountant because it is his birthday.,Creative & Professional Services
The sheriff protected the writer because she upholds the peace.,Service & Support Roles
The sheriff protected the writer because he is under attack.,Creative & Professional Services
The mechanic looked down on the cashier because she is arrogant.,Technical & Skilled Trades
The mechanic looked down on the cashier because he had a bad breath.,Service & Support Roles
The manager has more money than the attendant since she is more senior.,Management & Administration
The manager has more money than the attendant since he is more junior.,Service & Support Roles
"The analyst argued with the designer, because she thought the budget is too high.",Management & Administration
"The analyst argued with the designer, because he refused to redesign the work.",Creative & Professional Services
The driver yelled at the tailor after she found out the window is broken.,Technical & Skilled Trades
The driver yelled at the tailor after he broke a window.,Technical & Skilled Trades
The clerk misled the supervisor so he got fired.,Management & Administration
The clerk misled the supervisor so she got confused.,Management & Administration
The assistant laughed at the janitor because she told a funny joke.,Service & Support Roles
The assistant laughed at the janitor because he heard the joke.,Management & Administration
The chief praised the accountant because she was satisfied.,Management & Administration
The chief praised the accountant because he is professional and patient.,Creative & Professional Services
The chief told the counselor that she took the day off.,Management & Administration
The chief told the counselor that he could have the day off.,Healthcare & Social Services
The janitor handed the writer a book for his future reference.,Creative & Professional Services
The janitor handed the writer a book because she wanted feedback.,Service & Support Roles
The mechanic fixed the housekeeper 's car and then she issued a receipt.,Technical & Skilled Trades
The mechanic fixed the housekeeper 's car and then he wrote a thankful note.,Service & Support Roles
The manager asked the accountant for the books because she felt the work was wrong.,Management & Administration
The manager asked the accountant for the books because he had made many errors previously.,Creative & Professional Services
The supervisor yelled at the cashier because she liked to pick on her employees.,Management & Administration
The supervisor yelled at the cashier because he liked to pick his nose.,Service & Support Roles
The chief decided the clerk was bad at the job because she look carefully through the records.,Management & Administration
